Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
58,58,2021-04-19,26-362,MIA,,HOU,W (+22),1,28:35:00,7,14,0.5,5,11,0.455,0,0,,0,5,5,4,1,0,0,3,19,16.1,+35
59,59,2021-04-21,26-364,MIA,@,SAS,W (+20),1,27:38:00,4,9,0.444,2,7,0.286,0,0,,0,2,2,1,0,0,0,1,10,6.2,+8
60,60,2021-04-23,27-001,MIA,@,ATL,L (-15),1,31:43:00,5,13,0.385,2,10,0.2,1,1,1,0,5,5,2,0,0,1,3,13,6.6,+5
61,61,2021-04-24,27-002,MIA,,CHI,W (+5),1,37:44:00,8,17,0.471,7,15,0.467,0,1,0,0,6,6,0,1,0,2,2,23,13.9,+16
62,62,2021-04-26,27-004,MIA,,CHI,L (-8),1,26:09:00,1,7,0.143,1,7,0.143,0,0,,0,0,0,0,0,0,0,1,3,-1.9,+4
63,63,2021-04-28,27-006,MIA,,SAS,W (+5),1,32:13:00,3,8,0.375,2,4,0.5,0,0,,0,5,5,2,0,0,0,5,8,4.5,-2
64,64,2021-05-01,27-009,MIA,@,CLE,W (+17),1,21:14,7,10,0.7,6,9,0.667,0,0,,0,0,0,1,0,0,0,2,20,15.7,-3
65,65,2021-05-02,27-010,MIA,@,CHO,W (+10),1,26:31:00,3,10,0.3,3,10,0.3,1,3,0.333,0,3,3,0,1,1,0,3,10,4.8,+12
66,66,2021-05-04,27-012,MIA,,DAL,L (-14),1,37:39:00,6,14,0.429,4,11,0.364,3,3,1,1,8,9,3,2,0,1,4,19,16.2,-12
67,67,2021-05-07,27-015,MIA,,MIN,W (+9),1,17:33,2,4,0.5,2,4,0.5,0,0,,0,2,2,3,0,0,2,4,6,3.1,-15
68,68,2021-05-09,27-017,MIA,@,BOS,W (+6),1,33:32:00,7,13,0.538,6,10,0.6,2,2,1,0,3,3,1,1,0,1,1,22,16.9,+4
69,69,2021-05-11,27-019,MIA,@,BOS,W (+8),1,33:29:00,6,10,0.6,5,9,0.556,5,6,0.833,0,2,2,3,0,1,2,2,22,17.6,+11
70,70,2021-05-13,27-021,MIA,,PHI,W (+12),1,26:05:00,1,7,0.143,1,7,0.143,0,0,,1,3,4,1,2,2,3,2,3,0.4,+7
71,71,2021-05-15,27-023,MIA,@,MIL,L (-14),1,30:47:00,6,15,0.4,5,12,0.417,0,0,,0,0,0,2,1,0,0,2,17,10.5,-4
72,72,2021-05-16,27-024,MIA,@,DET,W (+13),1,19:05,3,5,0.6,2,4,0.5,0,0,,0,2,2,1,2,1,0,2,8,8.9,+9
1,1,2021-10-21,27-182,MIA,,MIL,W (+42),1,23:30,3,10,0.3,2,8,0.25,0,1,0,0,6,6,2,1,0,0,2,8,5.2,+29
2,2,2021-10-23,27-184,MIA,@,IND,L (-11),1,36:57:00,5,10,0.5,4,9,0.444,0,0,,0,5,5,2,0,1,2,4,14,9,-9
3,3,2021-10-25,27-186,MIA,,ORL,W (+17),1,27:28:00,3,10,0.3,2,8,0.25,2,2,1,0,5,5,3,0,0,2,2,10,5,+2
4,4,2021-10-27,27-188,MIA,@,BRK,W (+13),1,31:36:00,2,7,0.286,2,7,0.286,0,0,,0,5,5,1,0,1,1,3,6,2.6,+13
5,5,2021-10-29,27-190,MIA,,CHO,W (+15),1,26:12:00,4,14,0.286,2,11,0.182,0,0,,1,2,3,1,1,0,0,2,10,4,-5
6,6,2021-10-30,27-191,MIA,@,MEM,W (+26),1,26:31:00,5,10,0.5,5,10,0.5,0,0,,1,4,5,0,0,0,1,2,15,10.1,+20
7,7,2021-11-02,27-194,MIA,@,DAL,W (+15),1,23:55,2,3,0.667,2,2,1,0,0,,0,1,1,0,1,0,2,6,6,1.6,+5
8,8,2021-11-04,27-196,MIA,,BOS,L (-17),1,35:55:00,5,17,0.294,5,17,0.294,1,1,1,0,4,4,0,0,0,0,3,16,6.1,-1
9,9,2021-11-06,27-198,MIA,,UTA,W (+3),1,22:37,1,5,0.2,1,5,0.2,0,0,,0,2,2,1,1,0,0,4,3,0.6,-6
10,10,2021-11-08,27-200,MIA,@,DEN,L (-17),1,27:28:00,4,8,0.5,4,8,0.5,1,1,1,0,2,2,1,0,1,2,4,13,7.4,-16
11,11,2021-11-10,27-202,MIA,@,LAL,L (-3),1,45:16:00,4,16,0.25,3,13,0.231,1,3,0.333,1,5,6,3,3,1,0,3,12,8.4,0
12,12,2021-11-11,27-203,MIA,@,LAC,L (-3),1,26:42:00,2,13,0.154,2,11,0.182,0,0,,3,6,9,3,1,2,0,5,6,4.1,+11
13,13,2021-11-13,27-205,MIA,@,UTA,W (+6),1,34:01:00,8,14,0.571,6,11,0.545,0,0,,0,4,4,4,1,0,1,5,22,17.4,+20
14,14,2021-11-15,27-207,MIA,@,OKC,W (+13),1,31:34:00,8,15,0.533,5,12,0.417,0,0,,0,3,3,1,1,0,2,1,21,13.9,+7
15,15,2021-11-17,27-209,MIA,,NOP,W (+15),1,25:38:00,2,7,0.286,2,6,0.333,0,0,,0,0,0,2,2,0,0,2,6,4.5,+6
16,16,2021-11-18,27-210,MIA,,WAS,W (+15),1,26:34:00,2,9,0.222,2,8,0.25,0,0,,0,3,3,0,2,0,0,2,6,2.6,+5
17,17,2021-11-20,27-212,MIA,@,WAS,L (-3),1,19:30,3,7,0.429,1,5,0.2,0,0,,2,3,5,1,1,0,1,4,7,4.7,+8
18,18,2021-11-23,27-215,MIA,@,DET,W (+8),1,23:09,4,8,0.5,3,6,0.5,0,0,,0,3,3,0,0,0,1,3,11,5.7,-15
19,19,2021-11-24,27-216,MIA,@,MIN,L (-12),1,38:15:00,6,16,0.375,5,15,0.333,0,0,,0,5,5,3,1,0,2,3,17,9.6,-26
20,20,2021-11-27,27-219,MIA,@,CHI,W (+3),1,24:39:00,6,14,0.429,4,11,0.364,0,0,,0,1,1,0,1,0,0,4,16,8.3,+6
21,21,2021-11-29,27-221,MIA,,DEN,L (-9),1,29:04:00,1,9,0.111,1,9,0.111,0,0,,0,2,2,3,0,0,0,3,3,-1.4,-14
22,22,2021-12-01,27-223,MIA,,CLE,L (-26),1,20:04,0,7,0,0,6,0,0,0,,0,0,0,0,1,0,0,2,0,-4.7,-17
23,23,2021-12-03,27-225,MIA,@,IND,W (+9),1,29:30:00,7,11,0.636,4,7,0.571,6,7,0.857,0,2,2,1,0,0,1,1,24,18.6,+10
24,24,2021-12-04,27-226,MIA,@,MIL,L (-22),1,25:56:00,4,10,0.4,3,7,0.429,0,0,,0,3,3,3,1,0,1,1,11,8.2,-23
25,25,2021-12-06,27-228,MIA,,MEM,L (-15),1,22:09,4,8,0.5,2,5,0.4,0,0,,0,3,3,0,1,0,2,0,10,5.9,-22
26,26,2021-12-08,27-230,MIA,,MIL,W (+9),1,20:45,2,6,0.333,2,5,0.4,0,0,,0,2,2,0,0,0,1,2,6,1.4,+1
27,27,2021-12-11,27-233,MIA,,CHI,W (+26),1,27:11:00,9,13,0.692,5,9,0.556,3,3,1,0,1,1,1,0,1,0,3,26,21,+16
28,28,2021-12-13,27-235,MIA,@,CLE,L (-11),1,32:22:00,2,9,0.222,1,7,0.143,1,3,0.333,0,5,5,3,1,0,1,2,6,2.5,-1
29,29,2021-12-15,27-237,MIA,@,PHI,W (+5),1,39:07:00,6,16,0.375,4,11,0.364,5,5,1,3,5,8,3,1,0,0,4,21,17.3,+9
30,30,2021-12-17,27-239,MIA,@,ORL,W (+10),1,25:25:00,2,5,0.4,2,3,0.667,0,0,,1,2,3,1,2,1,1,3,6,5.8,+5
31,31,2021-12-19,27-241,MIA,@,DET,L (-10),1,33:18:00,2,11,0.182,2,10,0.2,0,0,,0,3,3,4,0,0,1,1,6,1.4,-1
32,32,2021-12-21,27-243,MIA,,IND,W (+29),1,30:03:00,10,16,0.625,6,10,0.6,0,0,,0,1,1,1,0,0,1,3,26,17.6,+21
33,33,2021-12-23,27-245,MIA,,DET,W (+3),1,21:08,0,6,0,0,5,0,3,3,1,0,4,4,2,0,0,0,3,3,0.2,-13
34,34,2021-12-26,27-248,MIA,,ORL,W (+10),1,27:30:00,2,9,0.222,2,8,0.25,0,0,,2,1,3,3,0,0,0,1,6,3.9,+2
35,35,2021-12-28,27-250,MIA,,WAS,W (+7),1,35:24:00,9,17,0.529,8,16,0.5,0,0,,0,1,1,1,1,0,0,3,26,18.5,+8
36,,2021-12-31,27-253,MIA,@,HOU,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2022-01-02,27-255,MIA,@,SAC,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2022-01-03,27-256,MIA,@,GSW,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,36,2022-01-05,27-258,MIA,@,POR,W (+6),0,16:54,4,7,0.571,4,6,0.667,0,0,,0,4,4,0,0,0,0,1,12,9.5,-1
40,37,2022-01-08,27-261,MIA,@,PHO,W (+23),0,28:43:00,9,17,0.529,8,16,0.5,1,1,1,1,3,4,1,0,0,0,2,27,20.2,+12
41,38,2022-01-12,27-265,MIA,@,ATL,W (+24),0,31:36:00,4,11,0.364,3,10,0.3,3,3,1,0,2,2,0,0,0,2,1,14,6.1,+18
42,39,2022-01-14,27-267,MIA,,ATL,W (+6),0,18:00,0,2,0,0,2,0,0,0,,0,2,2,2,0,0,1,2,0,-1.2,-12
43,40,2022-01-15,27-268,MIA,,PHI,L (-11),0,17:23,1,9,0.111,0,8,0,0,0,,0,1,1,1,0,0,0,0,2,-2.9,-2
44,41,2022-01-17,27-270,MIA,,TOR,W (+5),1,17:35,3,6,0.5,2,5,0.4,0,0,,1,2,3,1,3,0,1,4,8,7.4,+2
45,42,2022-01-19,27-272,MIA,,POR,W (+12),1,23:16,3,8,0.375,3,8,0.375,0,0,,0,1,1,1,1,1,1,2,9,5.5,-8
46,43,2022-01-21,27-274,MIA,@,ATL,L (-2),1,30:05:00,6,11,0.545,5,10,0.5,2,3,0.667,1,0,1,3,0,0,3,5,19,11.1,+11
47,44,2022-01-23,27-276,MIA,,LAL,W (+6),1,41:50:00,8,13,0.615,6,11,0.545,3,4,0.75,1,4,5,3,2,0,3,4,25,20.1,+1
48,45,2022-01-26,27-279,MIA,,NYK,W (+14),1,26:12:00,9,13,0.692,7,11,0.636,0,0,,0,2,2,1,0,1,0,5,25,19.5,+26
49,46,2022-01-28,27-281,MIA,,LAC,W (+7),1,25:50:00,6,9,0.667,4,7,0.571,0,0,,0,2,2,2,0,0,1,2,16,12.3,+16
50,47,2022-01-29,27-282,MIA,,TOR,L (-4),1,19:55,0,5,0,0,5,0,0,0,,0,1,1,0,0,0,1,0,0,-4.2,-17
51,48,2022-01-31,27-284,MIA,@,BOS,L (-30),1,26:49:00,2,8,0.25,2,8,0.25,0,0,,1,4,5,0,1,0,1,3,6,1.9,-27
52,49,2022-02-01,27-285,MIA,@,TOR,L (-4),1,14:33,1,6,0.167,1,5,0.2,2,2,1,0,0,0,2,0,0,0,3,5,1.4,0
53,50,2022-02-03,27-287,MIA,@,SAS,W (+17),1,34:21:00,5,10,0.5,4,8,0.5,3,3,1,0,3,3,3,1,0,1,3,17,13.8,+10
54,51,2022-02-05,27-289,MIA,@,CHO,W (+18),1,27:27:00,1,9,0.111,1,7,0.143,0,0,,0,3,3,4,0,1,1,3,3,-0.7,+7
55,52,2022-02-07,27-291,MIA,@,WAS,W (+21),1,28:37:00,4,10,0.4,4,9,0.444,0,0,,0,1,1,0,0,0,3,1,12,3.5,+2
56,53,2022-02-10,27-294,MIA,@,NOP,W (+15),1,24:14:00,4,12,0.333,2,10,0.2,0,0,,0,0,0,2,0,0,2,2,10,1.8,+5
57,54,2022-02-12,27-296,MIA,,BRK,W (+4),1,24:45:00,6,10,0.6,5,8,0.625,0,0,,0,4,4,3,2,0,1,3,17,15.5,+15
58,55,2022-02-15,27-299,MIA,,DAL,L (-8),1,20:21,2,6,0.333,1,5,0.2,0,0,,1,0,1,1,0,0,0,1,5,2.6,-2
59,56,2022-02-17,27-301,MIA,@,CHO,W (+4),1,44:08:00,6,13,0.462,6,13,0.462,3,3,1,0,4,4,5,0,0,1,5,21,16,+26
60,57,2022-02-25,27-309,MIA,@,NYK,W (+15),1,13:40,0,5,0,0,5,0,0,0,,0,3,3,1,0,0,0,4,0,-3.5,-10
61,58,2022-02-26,27-310,MIA,,SAS,W (+4),1,17:37,2,4,0.5,2,4,0.5,0,0,,0,0,0,0,0,0,0,4,6,2.4,-13
62,59,2022-02-28,27-312,MIA,,CHI,W (+13),1,21:50,3,8,0.375,3,8,0.375,0,0,,2,1,3,2,0,0,1,1,9,6.3,+17
63,60,2022-03-02,27-314,MIA,@,MIL,L (-1),1,21:42,5,7,0.714,5,7,0.714,0,0,,0,2,2,0,0,1,0,4,15,11.8,-7
64,61,2022-03-03,27-315,MIA,@,BRK,W (+6),1,31:19:00,0,3,0,0,3,0,0,0,,0,1,1,7,0,0,2,2,0,0.3,+3
65,62,2022-03-05,27-317,MIA,,PHI,W (+17),1,17:48,2,5,0.4,2,4,0.5,0,0,,0,1,1,2,0,0,2,2,6,2.2,-2
66,63,2022-03-07,27-319,MIA,,HOU,W (+17),1,27:24:00,5,9,0.556,3,7,0.429,0,0,,0,1,1,2,0,0,1,1,13,9,+4
67,64,2022-03-09,27-321,MIA,,PHO,L (-21),1,31:21:00,7,15,0.467,6,11,0.545,2,3,0.667,0,3,3,2,0,0,1,1,22,14.8,-18
68,65,2022-03-11,27-323,MIA,,CLE,W (+12),1,23:58,3,6,0.5,3,6,0.5,0,0,,0,1,1,1,0,0,0,3,9,5.8,+5
69,66,2022-03-12,27-324,MIA,,MIN,L (-9),1,16:30,1,6,0.167,1,6,0.167,0,0,,0,0,0,4,0,0,0,3,3,0.8,-21
70,67,2022-03-15,27-327,MIA,,DET,W (+7),1,20:41,2,10,0.2,2,9,0.222,6,6,1,1,2,3,1,1,0,0,3,12,7.6,+2
71,68,2022-03-18,27-330,MIA,,OKC,W (+12),1,19:37,7,10,0.7,5,8,0.625,0,0,,0,1,1,1,0,0,0,1,19,15.4,+13
72,69,2022-03-21,27-333,MIA,@,PHI,L (-7),1,26:15:00,2,6,0.333,2,6,0.333,0,0,,0,3,3,1,0,0,0,2,6,3.4,+5
73,70,2022-03-23,27-335,MIA,,GSW,L (-14),1,32:55:00,4,12,0.333,4,11,0.364,1,1,1,0,2,2,6,0,1,1,1,13,10.3,-2
74,71,2022-03-25,27-337,MIA,,NYK,L (-8),1,23:30,2,8,0.25,2,7,0.286,0,0,,0,0,0,1,1,0,1,3,6,0.7,0
75,72,2022-03-26,27-338,MIA,,BRK,L (-15),1,13:22,0,3,0,0,3,0,0,0,,0,1,1,0,0,0,0,2,0,-2.6,-5
76,73,2022-03-28,27-340,MIA,,SAC,W (+23),0,24:51:00,5,8,0.625,5,8,0.625,0,0,,0,2,2,1,1,0,0,4,15,12.1,+4
77,74,2022-03-30,27-342,MIA,@,BOS,W (+8),0,15:17,2,5,0.4,1,4,0.25,0,0,,0,0,0,0,0,1,1,2,5,1.2,-9
78,75,2022-04-02,27-345,MIA,@,CHI,W (+18),0,23:40,2,7,0.286,2,7,0.286,2,3,0.667,0,0,0,0,0,0,0,3,8,2.3,+16
79,76,2022-04-03,27-346,MIA,@,TOR,W (+5),0,12:48,0,2,0,0,2,0,0,0,,0,0,0,1,1,0,0,1,0,-0.1,-4
80,77,2022-04-05,27-348,MIA,,CHO,W (+29),0,27:14:00,7,11,0.636,7,11,0.636,0,0,,0,1,1,2,1,0,0,2,21,18,+30
81,78,2022-04-08,27-351,MIA,,ATL,W (+4),0,20:10,3,6,0.5,2,5,0.4,0,0,,0,1,1,1,1,0,1,3,8,4.8,-10
82,79,2022-04-10,27-353,MIA,@,ORL,L (-14),1,20:18,3,9,0.333,3,9,0.333,0,0,,1,6,7,4,1,0,0,1,9,9.8,-9
1,1,2022-10-19,28-180,MIA,,CHI,L (-8),0,10:54,2,4,0.5,1,3,0.333,0,0,,1,3,4,3,0,0,0,1,5,6.3,+8
2,2,2022-10-21,28-182,MIA,,BOS,L (-7),0,6:07,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,-5
3,3,2022-10-22,28-183,MIA,,TOR,W (+3),0,14:38,3,5,0.6,2,3,0.667,0,0,,0,3,3,0,0,0,0,3,8,5.4,-2
4,4,2022-10-24,28-185,MIA,,TOR,L (-8),0,15:34,4,8,0.5,3,6,0.5,1,1,1,0,1,1,0,0,0,0,4,12,6.7,-6
5,5,2022-10-26,28-187,MIA,@,POR,W (+21),0,19:06,2,7,0.286,1,5,0.2,0,0,,0,3,3,3,0,0,1,2,5,2.1,+12
6,6,2022-10-27,28-188,MIA,@,GSW,L (-13),0,13:09,1,7,0.143,1,5,0.2,0,0,,0,1,1,1,0,0,0,1,3,-0.9,-4
7,7,2022-10-29,28-190,MIA,@,SAC,L (-6),0,4:38,0,2,0,0,0,,2,2,1,1,1,2,0,0,0,0,2,2,0.8,-8
8,8,2022-11-01,28-193,MIA,,GSW,W (+7),0,25:41:00,6,10,0.6,5,8,0.625,0,0,,0,2,2,3,0,0,2,3,17,11.9,+19
9,9,2022-11-02,28-194,MIA,,SAC,W (+3),0,24:52:00,1,6,0.167,1,5,0.2,1,1,1,0,6,6,1,0,0,0,1,4,2.3,-8
10,10,2022-11-04,28-196,MIA,@,IND,L (-2),0,16:40,0,7,0,0,6,0,0,0,,0,3,3,0,0,0,0,1,0,-4.4,-13
11,11,2022-11-07,28-199,MIA,,POR,L (-3),0,28:31:00,3,9,0.333,3,9,0.333,0,0,,0,4,4,3,0,0,1,2,9,5.4,+2
12,12,2022-11-10,28-202,MIA,,CHO,W (+5),0,22:34,5,10,0.5,2,6,0.333,2,3,0.667,0,0,0,1,0,0,0,3,14,8.1,0
13,13,2022-11-12,28-204,MIA,,CHO,W (+17),0,23:09,2,9,0.222,0,6,0,1,1,1,0,1,1,2,1,0,1,1,5,0.8,+5
14,14,2022-11-14,28-206,MIA,,PHO,W (+1),0,20:42,3,7,0.429,2,6,0.333,2,2,1,0,0,0,0,0,0,2,0,10,4.3,-7
15,15,2022-11-16,28-208,MIA,@,TOR,L (-8),0,14:32,0,2,0,0,1,0,0,0,,1,2,3,3,0,0,2,2,0,-0.8,-3
16,,2022-11-18,28-210,MIA,@,WAS,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
17,16,2022-11-20,28-212,MIA,@,CLE,L (-26),0,20:55,3,6,0.5,1,3,0.333,0,0,,0,1,1,0,0,0,2,3,7,1.1,-22
18,,2022-11-21,28-213,MIA,@,MIN,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,,2022-11-23,28-215,MIA,,WAS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2022-11-25,28-217,MIA,,WAS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2022-11-27,28-219,MIA,@,ATL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,17,2022-11-30,28-222,MIA,@,BOS,L (-13),0,11:42,1,1,1,1,1,1,0,0,,0,0,0,0,3,0,0,3,3,4.5,-9
23,,2022-12-02,28-224,MIA,@,BOS,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2022-12-05,28-227,MIA,@,MEM,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,18,2022-12-06,28-228,MIA,,DET,L (-20),0,15:18,1,4,0.25,1,3,0.333,2,2,1,1,1,2,1,0,0,1,2,5,2.5,-4
26,,2022-12-08,28-230,MIA,,LAC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,19,2022-12-10,28-232,MIA,,SAS,L (-4),0,8:27,0,2,0,0,2,0,3,3,1,0,1,1,0,0,0,0,1,3,1.5,-6
28,,2022-12-12,28-234,MIA,@,IND,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,20,2022-12-14,28-236,MIA,@,OKC,W (+2),0,22:49,4,8,0.5,4,8,0.5,2,2,1,1,0,1,3,0,0,1,2,14,11,+14
30,21,2022-12-15,28-237,MIA,@,HOU,W (+3),0,23:37,3,12,0.25,2,11,0.182,0,0,,0,3,3,1,0,0,2,2,8,-0.4,+5
31,22,2022-12-17,28-239,MIA,@,SAS,W (+10),0,25:34:00,4,8,0.5,3,6,0.5,1,1,1,0,2,2,3,2,0,0,5,12,10.7,+3
32,23,2022-12-20,28-242,MIA,,CHI,L (-10),0,36:15:00,4,12,0.333,4,12,0.333,1,2,0.5,0,3,3,2,0,0,3,4,13,3.5,+7
33,,2022-12-23,28-245,MIA,,IND,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,24,2022-12-26,28-248,MIA,,MIN,W (+3),0,14:03,3,5,0.6,3,5,0.6,0,0,,0,4,4,0,1,0,0,0,9,8.9,+9
35,25,2022-12-28,28-250,MIA,,LAL,W (+14),0,15:50,3,5,0.6,2,4,0.5,0,0,,0,1,1,0,0,0,0,2,8,5.2,-11
36,26,2022-12-30,28-252,MIA,@,DEN,L (-5),0,19:13,3,7,0.429,3,7,0.429,0,0,,0,0,0,1,1,0,0,2,9,6.2,-6
37,27,2022-12-31,28-253,MIA,@,UTA,W (+3),0,21:09,3,8,0.375,1,5,0.2,2,2,1,1,1,2,1,0,0,0,2,9,5.5,+12
38,28,2023-01-02,28-255,MIA,@,LAC,W (+10),0,5:06,0,3,0,0,3,0,0,0,,0,0,0,0,0,0,1,2,0,-3.9,-2
39,,2023-01-04,28-257,MIA,@,LAL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2023-01-06,28-259,MIA,@,PHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2023-01-08,28-261,MIA,,BRK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2023-01-10,28-263,MIA,,OKC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2023-01-12,28-265,MIA,,MIL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2023-01-14,28-267,MIA,,MIL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2023-01-16,28-269,MIA,@,ATL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2023-01-18,28-271,MIA,@,NOP,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2023-01-20,28-273,MIA,@,DAL,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2023-01-22,28-275,MIA,,NOP,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2023-01-24,28-277,MIA,,BOS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2023-01-27,28-280,MIA,,ORL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
