Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
44,44,2021-03-23,26-335,MIA,,PHO,L (-10),1,31:54:00,2,6,0.333,2,5,0.4,0,0,,0,1,1,1,0,1,2,3,6,1.1,-19
45,45,2021-03-25,26-337,MIA,,POR,L (-3),1,26:30:00,4,6,0.667,4,6,0.667,0,0,,0,5,5,2,0,0,0,6,12,9.9,-6
46,46,2021-03-26,26-338,MIA,@,CHO,L (-5),1,28:23:00,7,10,0.7,6,9,0.667,0,0,,0,1,1,4,0,0,1,4,20,16.3,+10
47,47,2021-03-29,26-341,MIA,@,NYK,W (+10),1,32:00:00,4,10,0.4,4,9,0.444,2,2,1,0,2,2,1,1,0,2,3,14,7.7,+26
48,48,2021-03-31,26-343,MIA,@,IND,W (+5),1,33:23:00,7,12,0.583,6,11,0.545,0,0,,0,8,8,4,0,0,3,3,20,15.4,+17
49,49,2021-04-01,26-344,MIA,,GSW,W (+7),1,36:55:00,8,15,0.533,4,11,0.364,1,1,1,0,4,4,3,0,1,0,2,21,16.9,+14
50,50,2021-04-03,26-346,MIA,,CLE,W (+14),1,29:00:00,6,9,0.667,6,9,0.667,0,0,,0,3,3,2,1,0,2,3,18,14.2,+18
51,51,2021-04-06,26-349,MIA,,MEM,L (-12),1,25:55:00,5,8,0.625,4,7,0.571,0,0,,0,4,4,0,0,1,1,2,14,10.5,0
52,52,2021-04-08,26-351,MIA,,LAL,W (+6),1,26:14:00,3,5,0.6,3,5,0.6,2,2,1,0,1,1,3,0,1,2,4,11,8.2,+3
53,53,2021-04-11,26-354,MIA,@,POR,W (+9),1,21:58,4,12,0.333,4,10,0.4,0,0,,0,1,1,1,1,0,0,2,12,6.4,+2
54,54,2021-04-13,26-356,MIA,@,PHO,L (-20),1,29:11:00,5,12,0.417,4,10,0.4,1,1,1,0,2,2,2,0,0,3,3,15,6.4,-1
55,55,2021-04-14,26-357,MIA,@,DEN,L (-17),1,24:10:00,3,6,0.5,3,6,0.5,0,0,,0,1,1,3,0,1,0,4,9,7.5,-5
56,56,2021-04-16,26-359,MIA,@,MIN,L (-8),1,32:46:00,4,9,0.444,3,8,0.375,0,0,,0,1,1,4,2,1,1,2,11,10.3,0
57,57,2021-04-18,26-361,MIA,,BRK,W (+2),1,34:17:00,4,9,0.444,3,8,0.375,0,0,,1,0,1,1,2,0,2,1,11,7.3,-5
